2541A013 2541A015;2541A044022541A002;2532A013 2532A014;VAL;2;288559.5
2541A015 2541A016;2541A044022541A002;2541A002 2532A013;VAL;2;288617.5
2541A019 2541A003;2541A010 2541A011;VAL;2;288633.5
2541A016 2541A017;2541A007 2541A008;VAL;2;288726.5
2534A043 2543A019;2543A009 2543A010;2543A017 2543A007;VAL;2;288865.5
2541A013 2541A015;2523A017 2541A003;VAL;2;288952.5
2523A004 2523A005;2523A006 2523A027;2523A007 2523A008;VAL;2;288981.5
2523A001 2523A015;2523A001 2523A010;2523A008 2523A009;VAL;2;289002.5
2523A030 2523A016;2541A016 2541A017;2523A002 2523A016;VAL;2;289012.5
2541A010 2541A011;2541A018 2541A019;VAL;2;289027.5
2541A001 2541A006;2534A043 2543A019;2543A008 2543A009;VAL;2;289059.5
2541A008 2541A009;2541A017 2541A018;VAL;2;289164.5
2541A015 2541A016;2541A002 2541A007;VAL;2;289241.5
2534A031 2543A003;2543A010 2543A011;VAL;2;289254.5
2543A011 2543A003;2543A015 2543A010;2543A008 2543A009;VAL;2;289292.5
2543A020 2543A007;2543A009 2543A010;2541A006 2543A017;VAL;2;289298.5
2533A016 2533A11808;2533A007 2533A015;2533A016 2533A111;VAL;2;289348.5
2531A156 2531A069;2532A095 2531A156;2531A154 2531A156;VAL;2;289356.5
2541A044022541A002;2541A012 2541A013;2532A014 2541A001;VAL;2;289388.5
2523A016 2523A017;2541A015 2541A016;VAL;2;289586.5
2543A020 2543A019;2543A009 2543A010;2543A017 2543A007;VAL;2;289586.5
2531A001 2531A002;2531A153 2531A002;2531A002 2531A032;VAL;2;289708.5
2543A007 2543A001;2543A010 2543A011;2543A015 2543A010;VAL;2;289708.5
2531A010 2533A037;2531A010 2531A014;2531A010 2531A154;VAL;2;289727.5
2541A044022541A002;2532A014 2541A001;2541A011 2541A012;VAL;2;289752.5
2541A011 2541A012;2541A019 2541A003;VAL;2;289757.5
2541A001 2541A006;2543A020 2543A019;2543A008 2543A009;VAL;2;289780.5
2523A030 2523A016;2523A002 2523A016;2541A017 2541A018;VAL;2;289837.5
2541A015 2541A016;2541A007 2541A008;VAL;2;289955.5
2541A013 2541A015;2541A044022541A002;2541A002 2532A013;VAL;2;289963.5
2541A009 2541A010;2541A017 2541A018;VAL;2;289977.5
2541A016 2541A017;2541A008 2541A009;VAL;2;289989.5
2523A008 2523A009;2523A008 2523A028;2523A006 2523A007;VAL;2;290070.5
2541A044022541A002;2541A012 2541A013;2532A013 2532A014;VAL;2;290116.5
2541A012 2541A013;2541A019 2541A003;VAL;2;290121.5
2541A011 2541A012;2541A018 2541A019;VAL;2;290151.5
2534A043 2543A019;2543A008 2543A009;2541A006 2543A017;VAL;2;290170.5
2541A015 2541A016;2523A017 2541A003;VAL;2;290298.5
2543A020 2543A007;2543A009 2543A010;2543A017 2543A007;VAL;2;290366.5
2541A044022541A002;2541A011 2541A012;2532A013 2532A014;VAL;2;290480.5
2541A012 2541A013;2541A018 2541A019;VAL;2;290515.5
2543A020 2543A007;2541A001 2541A006;2543A008 2543A009;VAL;2;290560.5
2543A001 2543A008;2541A001 2541A006;2534A043 2543A019;VAL;2;290563.5
2541A013 2541A015;2541A002 2541A007;VAL;2;290587.5
2514A031 2514A020;2514A006022514A020;2523A005 2523A006;VAL;2;290686.5
2541A016 2541A017;2541A009 2541A010;VAL;2;290802.5
2523A001 2523A010;2523A015 2524A001;2523A002 2523A016;VAL;2;290814.5
2523A016 2523A017;2541A016 2541A017;VAL;2;290815.5
2523A001 2523A010;2523A050 2524A001;2523A002 2523A016;VAL;2;290856.5
2541A044022541A002;2532A014 2541A001;2541A010 2541A011;VAL;2;290876.5
2543A020 2543A019;2543A008 2543A009;2541A006 2543A017;VAL;2;290891.5
2534A028 2534A030;2534A055 2534A030;2543A011 2543A003;VAL;2;290893.5
2532A038 2532A002;2531A156 2531A069;2531A009032531A06801;VAL;2;290905.5
2543A007 2543A001;2534A043 2543A019;2543A009 2543A010;VAL;2;290917.5
2543A007 2543A001;2543A009 2543A010;VAL;2;290917.5
2543A007 2543A001;2543A009 2543A010;2543A015 2543A010;VAL;2;290917.5
2543A007 2543A001;2543A020 2543A019;2543A009 2543A010;VAL;2;290917.5
2543A020 2543A007;2543A007 2543A001;2543A009 2543A010;VAL;2;290917.5
2523A009 2523A001;2523A008 2523A028;2523A007 2523A008;VAL;2;290954.5
2523A006 2523A027;2523A007 2523A008;2523A005 2523A006;VAL;2;291012.5
2532A027 2532A028;2541A002 2532A013;2543A017 2543A007;VAL;2;291082.5
2514A092 2523A042;2514A040 2514A007;2514A034 2514A176;VAL;2;291128.5
2541A015 2541A016;2541A008 2541A009;VAL;2;291218.5
2534A043 2543A019;2543A017 2543A007;2543A008 2543A009;VAL;2;291238.5
2534A045 2534A013;2532A022 2534A045;2534A015 2534A044;VAL;2;291266.5
2543A001 2543A008;2541A001 2541A006;2543A020 2543A019;VAL;2;291284.5
2541A013 2541A015;2541A007 2541A008;VAL;2;291301.5
2514A020 2523A003;2523A006 2523A027;2523A006 2523A007;VAL;2;291353.5
2541A010 2541A011;2541A017 2541A018;VAL;2;291381.5
2514A036 2514A037;2514A033032514A034;2514A034 2523A033;VAL;2;291422.5
2534A030 2534A031;2543A011 2543A003;VAL;2;291442.5
2523A001 2523A010;2523A013 2523A048;2523A002 2523A016;VAL;2;291489.5
2541A044022541A002;2541A012 2541A013;2541A002 2532A013;VAL;2;291520.5
2541A016 2541A017;2523A017 2541A003;VAL;2;291527.5
2541A044022541A002;2532A013 2532A014;2541A010 2541A011;VAL;2;291604.5
2523A016 2523A017;2541A017 2541A018;VAL;2;291640.5
2541A002 2532A013;2532A015 2532A028;2543A017 2543A007;VAL;2;291640.5
2541A004 2541A04405;2541A004 2532A008;2532A011022541A004;VAL;2;291652.5
2543A011 2543A003;2543A009 2543A010;2543A015 2543A010;VAL;2;291665.5
2543A020 2543A007;2543A008 2543A009;2541A006 2543A017;VAL;2;291671.5
2543A001 2543A008;2534A043 2543A019;2541A006 2543A017;VAL;2;291674.5
2541A013 2541A015;2541A019 2541A003;VAL;2;291678.5
2534A044 2534A045;2534A015 2534A016;2534A014 2534A015;VAL;2;291794.5
2514A020 2523A003;2523A007 2523A008;2523A006 2523A007;VAL;2;291822.5
2523A003 2523A004;2523A007 2523A008;2523A006 2523A007;VAL;2;291822.5
2523A004 2523A005;2523A007 2523A008;2523A006 2523A007;VAL;2;291822.5
2523A006 2523A027;2523A007 2523A008;2523A006 2523A007;VAL;2;291822.5
2523A007 2523A008;2523A006 2523A007;VAL;2;291822.5
2523A007 2523A008;2523A006 2523A007;2523A005 2523A006;VAL;2;291822.5
2523A008 2523A028;2523A007 2523A008;2523A006 2523A007;VAL;2;291822.5
2523A015 2523A014;2523A007 2523A008;2523A006 2523A007;VAL;2;291822.5
2534A002 2534A001;2534A016 2534A001;2534A001 2533A009;VAL;2;291823.5
2541A044022541A002;2541A011 2541A012;2541A002 2532A013;VAL;2;291884.5
2543A020 2543A019;2543A017 2543A007;2543A008 2543A009;VAL;2;291959.5
2514A092 2523A042;2514A039 2514A040;2514A034 2514A176;VAL;2;292028.5
2541A015 2541A016;2541A009 2541A010;VAL;2;292031.5
2534A002 2534A001;2534A032 2534A002;2534A003 2534A018;VAL;2;292058.5
2543A020 2543A007;2543A001 2543A008;2541A001 2541A006;VAL;2;292064.5
2541A013 2541A015;2541A018 2541A019;VAL;2;292072.5
2531A182 2531A014;2531A088 2531A090;2531A163 2533A074;VAL;2;292085.5
2514A033032514A034;2514A006032514A03301;2514A033022514A01902;VAL;2;292093.5
2541A012 2541A013;2541A002 2541A007;VAL;2;292144.5
2532A027 2532A028;2541A002 2532A013;2541A006 2543A017;VAL;2;292150.5
