2523A001 2523A010;2523A050 2524A001;2523A002 2523A016;2;290856.5
2541A044022541A002;2532A014 2541A001;2541A010 2541A011;2;290876.5
2543A020 2543A019;2543A008 2543A009;2541A006 2543A017;2;290891.5
2534A028 2534A030;2534A055 2534A030;2543A011 2543A003;2;290893.5
2532A038 2532A002;2531A156 2531A069;2531A009032531A06801;2;290905.5
2543A007 2543A001;2534A043 2543A019;2543A009 2543A010;2;290917.5
2543A007 2543A001;2543A009 2543A010;2543A015 2543A010;2;290917.5
2543A007 2543A001;2543A020 2543A019;2543A009 2543A010;2;290917.5
2543A020 2543A007;2543A007 2543A001;2543A009 2543A010;2;290917.5
2523A009 2523A001;2523A008 2523A028;2523A007 2523A008;2;290954.5
2523A006 2523A027;2523A007 2523A008;2523A005 2523A006;2;291012.5
2532A027 2532A028;2541A002 2532A013;2543A017 2543A007;2;291082.5
2514A092 2523A042;2514A040 2514A007;2514A034 2514A176;2;291128.5
2534A043 2543A019;2543A017 2543A007;2543A008 2543A009;2;291238.5
2534A045 2534A013;2532A022 2534A045;2534A015 2534A044;2;291266.5
2543A001 2543A008;2541A001 2541A006;2543A020 2543A019;2;291284.5
2514A020 2523A003;2523A006 2523A027;2523A006 2523A007;2;291353.5
2514A036 2514A037;2514A033032514A034;2514A034 2523A033;2;291422.5
2523A001 2523A010;2523A013 2523A048;2523A002 2523A016;2;291489.5
2541A044022541A002;2541A012 2541A013;2541A002 2532A013;2;291520.5
2541A044022541A002;2532A013 2532A014;2541A010 2541A011;2;291604.5
2541A002 2532A013;2532A015 2532A028;2543A017 2543A007;2;291640.5
2541A004 2541A04405;2541A004 2532A008;2532A011022541A004;2;291652.5
2543A011 2543A003;2543A009 2543A010;2543A015 2543A010;2;291665.5
2543A020 2543A007;2543A008 2543A009;2541A006 2543A017;2;291671.5
2543A001 2543A008;2534A043 2543A019;2541A006 2543A017;2;291674.5
2534A044 2534A045;2534A015 2534A016;2534A014 2534A015;2;291794.5
2514A020 2523A003;2523A007 2523A008;2523A006 2523A007;2;291822.5
2523A003 2523A004;2523A007 2523A008;2523A006 2523A007;2;291822.5
2523A004 2523A005;2523A007 2523A008;2523A006 2523A007;2;291822.5
2523A006 2523A027;2523A007 2523A008;2523A006 2523A007;2;291822.5
2523A007 2523A008;2523A006 2523A007;2523A005 2523A006;2;291822.5
2523A008 2523A028;2523A007 2523A008;2523A006 2523A007;2;291822.5
2523A015 2523A014;2523A007 2523A008;2523A006 2523A007;2;291822.5
2534A002 2534A001;2534A016 2534A001;2534A001 2533A009;2;291823.5
2541A044022541A002;2541A011 2541A012;2541A002 2532A013;2;291884.5
2543A020 2543A019;2543A017 2543A007;2543A008 2543A009;2;291959.5
2514A092 2523A042;2514A039 2514A040;2514A034 2514A176;2;292028.5
2534A002 2534A001;2534A032 2534A002;2534A003 2534A018;2;292058.5
2543A020 2543A007;2543A001 2543A008;2541A001 2541A006;2;292064.5
2531A182 2531A014;2531A088 2531A090;2531A163 2533A074;2;292085.5
2514A033032514A034;2514A006032514A03301;2514A033022514A01902;2;292093.5
2532A027 2532A028;2541A002 2532A013;2541A006 2543A017;2;292150.5
2531A182 2531A014;2531A163 2531A182;2531A088 2531A090;2;292152.5
2534A044 2534A045;2534A015 2534A044;2534A014 2534A015;2;292160.5
2534A045 2534A013;2534A044 2534A045;2534A015 2534A044;2;292160.5
2514A020 2523A003;2514A033032514A034;2523A005 2523A006;2;292163.5
2514A020 2523A003;2523A034 2523A032;2523A005 2523A006;2;292163.5
2523A015 2523A014;2514A020 2523A003;2523A005 2523A006;2;292163.5
2523A032 2523A031;2514A020 2523A003;2523A005 2523A006;2;292163.5
2523A030 2523A016;2541A018 2541A019;2523A002 2523A016;2;292191.5
2514A092 2523A042;2514A040 2514A007;2514A176 2514A036;2;292226.5
2533A043 2533A007;2533A040 2533A041;2533A068 2533A041;2;292226.5
2523A031 2523A030;2523A030 2523A016;2523A028 2523A030;2;292274.5
