1;city;2514A037;327
2;city;2514A038;102
3;city;2523A048;363
4;city;2523A050;270
5;city;2514A054;308
6;city;2514A055;464
7;city;2514A013;855
8;city;2514A014;531
9;city;2514A016;823
10;city;2514A018;2032
11;city;2514A019;2877
12;city;2514A006;1939
13;city;2514A033;5733
14;city;2514A020;1477
15;city;2514A005;1337
16;city;2514A031;2499
17;city;2523A003;1086
18;city;2523A004;192
19;city;2523A005;819
20;city;2523A006;810
21;city;2523A007;1754
22;city;2523A009;2536
23;city;2523A001;2720
24;city;2523A010;1239
25;city;2523A002;990
26;city;2523A011;723
27;city;2523A012;1323
28;city;2523A013;1131
29;city;2541A003;647
30;city;2541A020;606
31;city;2541A019;341
32;city;2541A018;2038
33;city;2541A015;1220
34;city;2541A016;1018
35;city;2541A013;1343
36;city;2541A012;364
37;city;2541A011;899
38;city;2541A010;729
39;city;2514A176;755
40;city;2514A036;217
41;city;2514A039;855
42;city;2514A040;687
43;city;2514A041;3162
44;city;2514A007;6
45;city;2532A106;3
46;city;2532A093;6552
47;city;2541A044;2502
48;city;2532A017;1176
49;city;2532A013;1104
50;city;2532A014;680
51;city;2541A001;746
52;city;2532A016;327
53;city;2541A006;936
54;city;2543A017;1068
55;city;2543A007;551
56;city;2543A001;544
57;city;2543A006;1459
58;city;2543A008;1048
59;city;2514A004;153
60;city;2514A011;102
61;city;2523A008;1752
62;city;2514A030;336
63;city;2514A029;36
64;city;2514A027;92
65;node;2514A028;0
66;city;2532A015;429
67;city;2514A034;3759
68;city;2541A002;624
69;city;2532A018;691
70;city;2532A005;861
71;city;2514A058;246
72;city;2514A056;12
73;city;2523A017;466
74;city;2523A016;1803
75;city;2523A018;561
76;city;2541A017;642
77;city;2541A009;576
78;city;2541A008;843
79;city;2541A007;324
80;city;2524A001;39
81;city;2524B001;3
82;city;2543A030;219
83;city;2514A052;280
84;city;2514A053;596
85;node;2514A158;0
86;node;2514B017;0
87;city;2514A126;325
88;city;2514A157;4
89;city;2514A125;220
90;city;2514A124;3
91;city;2514A122;324
92;city;2514A102;304
93;node;2514A156;0
94;city;2514A128;208
95;city;2514A129;116
96;node;2514A127;0
97;node;2514A057;0
98;city;2514A123;111
99;city;2514A141;1032
100;city;2514A142;85
101;node;2514A143;0
102;city;2514A144;168
103;city;2514A145;56
104;city;2514A095;320
105;city;2514A147;180
106;city;2514A166;160
107;city;2514A167;324
108;city;2531A184;27
109;city;2531A100;375
110;city;2531A099;528
111;city;2514A146;945
112;city;2514A139;770
113;city;2514A140;700
114;city;2514A094;292
115;city;2514A093;76
116;city;2523A034;223
117;city;2523A032;1015
118;city;2523A043;467
119;city;2523A052;66
120;city;2523A039;345
121;city;2523A024;2090
122;city;2523A022;1115
123;city;2523A023;1045
124;city;2523A027;1423
125;city;2523A028;580
126;city;2534A002;4195
127;city;2534A001;6003
128;city;2534A003;212
129;city;2534A018;811
