483;city;2514A069;907
70;city;2532A005;861
345;city;2541A029;2136
69;city;2532A018;691
199;city;2532A037;912
200;city;2532A072;1131
197;city;2532A036;195
349;city;2514A135;213
350;city;2514A168;39
67;city;2514A034;3759
68;city;2541A002;624
312;city;2523A036;564
116;city;2523A034;223
329;city;2532A075;1707
218;city;2541A004;4038
454;city;2514A060;788
217;city;2532A011;8160
219;city;2532A008;1116
2;city;2514A038;102
1;city;2514A037;327
533;city;2514A086;214
13;city;2514A033;5733
666;city;2532A010;144
14;city;2514A020;1477
117;city;2523A032;1015
667;node;;0
15;city;2514A005;1337
118;city;2523A043;467
10;city;2514A018;2032
11;city;2514A019;2877
12;city;2514A006;1939
305;city;2532A109;1722
306;city;2532A107;1050
307;city;2532A088;588
308;city;2523A031;952
301;city;2523A033;407
302;city;2523A042;126
303;city;2514A092;561
304;city;2523A035;756
297;city;2514A133;426
298;city;2514A134;791
299;city;2514A136;513
300;city;2514A177;343
295;city;2514A137;520
296;city;2514A132;384
47;city;2541A044;2502
48;city;2532A017;1176
45;city;2532A106;3
46;city;2532A093;6552
43;city;2514A041;3162
44;city;2514A007;6
41;city;2514A039;855
42;city;2514A040;687
39;city;2514A176;755
40;city;2514A036;217
