210;112;113;2514A139 2514A140;1814;100
218;117;308;2523A032 2523A031;1920;114
217;116;301;2523A033 2523A034;2190;168
216;116;118;2523A043 2523A034;90;3
215;116;117;2523A034 2523A032;6234;325
221;118;217;2532A011032523A043;13612;698
220;118;302;2523A042 2523A043;2476;163
219;117;312;2523A032 2523A036;3379;242
193;100;688;2514A142 2514A026;3071;133
194;101;102;2514A143 2514A144;306;17
500;261;373;2532A027 2532A028;132;10
191;99;100;2514A141 2514A142;1530;93
499;261;354;2532A029 2532A027;2879;166
192;100;101;2514A142 2514A143;1020;40
735;483;533;2514A069 2514A086;311;21
498;260;261;2532A007 2532A027;5325;274
197;103;112;2514A145 2514A139;2751;119
497;259;352;2532A030 2532A00603;1001;72
496;259;260;2532A006022532A007;293;19
195;102;103;2514A144 2514A145;658;29
196;102;103;2514A144 2514A145;1060;84
726;478;531;2514A008 2514A085;917;67
725;478;530;2513A193 2514A008;278;22
224;124;125;2523A027 2523A028;4272;252
225;124;308;2523A027 2523A031;2935;126
226;125;220;2523A028 2523A030;574;41
545;301;302;2523A042 2523A033;1160;83
3;1;303;2514A037 2514A092;2230;162
546;302;303;2514A092 2523A042;2946;208
4;2;41;2514A038 2514A039;3742;169
543;295;296;2514A137 2514A132;3877;268
5;2;350;2514A038 2514A168;73;5
970;713;715;2523A015 2523A014;19212;1271
544;295;297;2514A137 2514A133;3452;238
549;306;307;2532A107 2532A088;4351;295
550;306;666;2532A010032532A107;127;5
973;715;716;2523A014 2512A095;13369;1048
547;303;304;2514A092 2523A035;3404;201
1;1;2;2514A037 2514A038;118;9
548;305;667;2532A092 2532A109;41;2
2;1;40;2514A036 2514A037;140;8
554;329;360;2532A075 2532A071;6576;446
562;352;354;2532A029 2532A030;2320;100
20;9;10;2514A016 2514A018;3164;155
561;352;353;2532A030 2532A068;2696;124
19;8;87;2514A014 2514A126;5150;259
22;10;11;2514A018 2514A01901;2156;163
21;9;90;2514A016 2514A124;2925;142
15;7;8;2514A013 2514A014;2942;131
18;8;9;2514A014 2514A016;2501;130
